id,lon,lat,name,address,createtime,updatetime
44,114.255548,22.872571,惠阳白云嶂市级自然保护区,广东省惠州市惠阳区新圩镇惠阳白云嶂市级自然保护区,2015-12-27 16:25:22,2015-12-27 16:25:22
45,114.408327,22.898507,董屋,广东省惠州市惠阳区秋长街道董屋,2015-12-27 16:25:24,2015-12-27 16:25:24
46,114.450556,22.814354,三千俊林,广东省惠州市惠阳区淡水街道三千俊林,2015-12-27 16:25:26,2015-12-27 16:25:26
47,114.507891,22.695945,海尾,广东省惠州市惠阳区大亚湾西区街道海尾,2015-12-27 16:25:29,2015-12-27 16:25:29
48,114.115473,22.691511,润泽堂药业(顺龙兴分店),广东省深圳市龙岗区平湖街道辅歧路166号,2015-12-27 16:25:32,2015-12-27 16:25:32
49,114.170748,22.665535,创兴达,广东省东莞市凤岗镇创兴达,2015-12-27 16:25:34,2015-12-27 16:25:34
50,114.162852,22.634484,金山园物流园,广东省深圳市龙岗区南湾街道金山园物流园,2015-12-27 16:25:37,2015-12-27 16:25:37
51,114.131610,22.631949,深圳市佳纷时装有限公司,广东省深圳市龙岗区南湾街道布澜路76号,2015-12-27 16:25:40,2015-12-27 16:25:40
52,114.025523,22.622442,红山(地铁站),广东省深圳市宝安区民治街道红山(地铁站),2015-12-27 16:25:43,2015-12-27 16:25:43
53,113.901583,22.749780,广东省高级技工学校深圳校区,广东省深圳市宝安区公明街道塘学路1号,2015-12-27 16:25:48,2015-12-27 16:25:48
54,113.937632,22.862448,水流石水库,广东省东莞市大朗镇水流石水库,2015-12-27 16:25:50,2015-12-27 16:25:50
55,113.799273,22.724449,九九工业区,广东省深圳市宝安区沙井街道九九工业区,2015-12-27 16:25:53,2015-12-27 16:25:53
56,113.741938,22.778906,火锅烤鱼城,广东省东莞市长安镇复兴路8号C栋,2015-12-27 16:25:56,2015-12-27 16:25:56
57,113.785540,22.663635,福永镇食品公司屠宰厂,广东省深圳市宝安区福永街道福永镇食品公司屠宰厂,2015-12-27 16:25:58,2015-12-27 16:25:58
58,113.877207,22.574265,王大中丞祠,广东省深圳市宝安区西乡街道共乐路117号,2015-12-27 16:26:01,2015-12-27 16:26:01
59,114.143969,22.526070,恐龙坑,香港特別行政區北區恐龙坑,2015-12-27 16:26:06,2015-12-27 16:26:06
60,114.247996,22.562218,黄金珠宝大厦,广东省深圳市盐田区市保税区深盐路2007号,2015-12-27 16:26:09,2015-12-27 16:26:09
